"","Geography.diff","Geography.lwr","Geography.upr","Geography.p.adj"
"uniform-non-uniform|avgBranLen",-0.24,-2.29,1.81,0.81
"uniform-non-uniform|dia",0.1,-1.89,2.09,0.92
"uniform-non-uniform|edge",-0.22,-2.27,1.83,0.82
"uniform-non-uniform|height",0.13,-1.79,2.04,0.89
"uniform-non-uniform|totalClusters",-2.92,-8.06,2.22,0.25
"uniform-non-uniform|outbreakClusters",-1.77,-4.17,0.63,0.14
