"","Host.diff","Host.lwr","Host.upr","Host.p.adj"
"uniform-non-uniform|avgBranLen",-0.73,-2.79,1.32,0.47
"uniform-non-uniform|dia",-1.01,-3.01,0.98,0.3
"uniform-non-uniform|edge",-0.73,-2.78,1.32,0.47
"uniform-non-uniform|height",-0.99,-2.91,0.93,0.29
"uniform-non-uniform|totalClusters",0.83,-4.31,5.97,0.74
"uniform-non-uniform|outbreakClusters",-1.75,-4.15,0.65,0.14
