"","GenomePortion.diff","GenomePortion.lwr","GenomePortion.upr","GenomePortion.p.adj"
"pan-core|AvgBranLen",-3.43,-10.33,3.47,0.17
"pan-core|dia",-3.28,-9.62,3.06,0.16
"pan-core|edge",-3.43,-10.33,3.47,0.17
"pan-core|height",-3.11,-9.04,2.82,0.15
"pan-core|totalClusters",-0.26,-3.87,3.34,0.78
"pan-core|outbreakClusters",-0.51,-1.63,0.61,0.19
