"","Average.branch.length..All.Branches","Diameter","Edge.length.sum..All.edges","Height","Total.number.of.clusters.without.singletons","Number.of.clusters.that.contained.a.confirmed.outbreak.genome"
"Pipeline     ",0.61,0.52,0.61,0.78,0.49,0.57
"GenomePortion",0.42,0.29,0.42,0.34,0.82,0.51
