"","GenomePortion.diff","GenomePortion.lwr","GenomePortion.upr","GenomePortion.p.adj"
"pan-core|AvgBranLen",-0.01,-0.06,0.04,0.42
"pan-core|dia",-1,-4,2,0.29
"pan-core|edge",-1.33,-7.04,4.37,0.42
"pan-core|height",-0.76,-3.39,1.88,0.34
"pan-core|totalClusters",0.17,-2.73,3.07,0.82
"pan-core|outbreakClusters",2,-8.82,12.82,0.51
