"","GenomePortion.diff","GenomePortion.lwr","GenomePortion.upr","GenomePortion.p.adj"
"pan-core|AvgBranLen",0,-0.02,0.02,0.94
"pan-core|dia",0.06,-0.93,1.06,0.81
"pan-core|edge",-0.05,-2.96,2.85,0.94
"pan-core|height",0.06,-0.84,0.96,0.81
"pan-core|totalClusters",-0.33,-11.53,10.86,0.91
"pan-core|outbreakClusters",0.67,-4.5,5.83,0.63
