"","GenomePortion.diff","GenomePortion.lwr","GenomePortion.upr","GenomePortion.p.adj"
"pan-core|collessPDA",-0.29,-0.51,-0.08,0.01
"pan-core|collessYule",-0.42,-0.72,-0.12,0.01
"pan-core|gamma",0.15,-1.01,1.31,0.79
"pan-core|sackinPDA",-0.2,-0.37,-0.04,0.02
"pan-core|sackinYule",-0.41,-0.71,-0.1,0.01
"pan-core|totalClusters",-3,-6.01,0.01,0.05
"pan-core|outbreakClusters",-0.45,-1.95,1.05,0.55
