"","GenomePortion.diff","GenomePortion.lwr","GenomePortion.upr","GenomePortion.p.adj"
"pan-core|AvgBranLen",0,-0.02,0.02,0.97
"pan-core|dia",-0.17,-2.92,2.58,0.81
"pan-core|edge",-0.05,-5.29,5.19,0.97
"pan-core|height",-0.44,-2.31,1.42,0.42
"pan-core|totalClusters",0.67,-26.56,27.89,0.93
"pan-core|outbreakClusters",1,-5.57,7.57,0.58
