"","Geography.diff","Geography.lwr","Geography.upr","Geography.p.adj"
"uniform-non-uniform|collessPDA",0.03,-0.18,0.23,0.8
"uniform-non-uniform|collessYule",-0.01,-0.06,0.05,0.77
"uniform-non-uniform|gamma",0.05,-1.17,1.28,0.93
"uniform-non-uniform|sackinPDA",0.01,-0.08,0.11,0.78
"uniform-non-uniform|sackinYule",-0.02,-0.09,0.05,0.54
"uniform-non-uniform|totalClusters",2.11,-0.89,5.11,0.16
"uniform-non-uniform|outbreakClusters",-0.16,-0.57,0.25,0.44
