"","GenomePortion.diff","GenomePortion.lwr","GenomePortion.upr","GenomePortion.p.adj"
"pan-core|collessPDA",0.32,0.16,0.49,0
"pan-core|collessYule",0.09,0.05,0.14,0
"pan-core|gamma",-0.64,-1.62,0.34,0.19
"pan-core|sackinPDA",0.13,0.05,0.21,0
"pan-core|sackinYule",0.1,0.05,0.16,0
"pan-core|totalClusters",-1.1,-3.5,1.3,0.36
"pan-core|outbreakClusters",-0.6,-0.93,-0.27,0
