"","Average.branch.length..All.Branches","Diameter","Edge.length.sum..All.edges","Height","Total.number.of.clusters.without.singletons","Number.of.clusters.that.contained.a.confirmed.outbreak.genome"
"Pipeline     ",0.24,0.23,0.24,0.23,0.38,0.13
"GenomePortion",0.17,0.16,0.17,0.15,0.78,0.19
