"","GenomePortion.diff","GenomePortion.lwr","GenomePortion.upr","GenomePortion.p.adj"
"pan-core|AvgBranLen",0.18,-1.26,1.63,0.79
"pan-core|dia",0.17,-1.42,1.75,0.83
"pan-core|edge",0.18,-1.26,1.63,0.79
"pan-core|height",0.24,-1.3,1.78,0.75
"pan-core|totalClusters",0.08,-0.13,0.28,0.45
"pan-core|outbreakClusters",0.05,-0.33,0.43,0.79
