"","SampleType.diff","SampleType.lwr","SampleType.upr","SampleType.p.adj"
"uniform-non-uniform|avgBranLen",1.05,-0.75,2.86,0.24
"uniform-non-uniform|dia",1.35,-0.63,3.32,0.17
"uniform-non-uniform|edge",1.13,-0.68,2.94,0.21
"uniform-non-uniform|height",1.16,-0.76,3.09,0.22
"uniform-non-uniform|totalClusters",0.08,-0.18,0.34,0.52
"uniform-non-uniform|outbreakClusters",0.19,-0.29,0.67,0.42
