"","Host.diff","Host.lwr","Host.upr","Host.p.adj"
"uniform-non-uniform|avgBranLen",-0.26,-2.07,1.55,0.77
"uniform-non-uniform|dia",-0.16,-2.14,1.81,0.87
"uniform-non-uniform|edge",-0.29,-2.1,1.52,0.74
"uniform-non-uniform|height",-0.12,-2.05,1.8,0.9
"uniform-non-uniform|totalClusters",0.14,-0.12,0.4,0.27
"uniform-non-uniform|outbreakClusters",0.11,-0.37,0.59,0.65
