Run,Status
SRR12800836,Non-investigated-Isolate-Low-Diversity
SRR12761348,Non-investigated-Isolate-Low-Diversity
SRR12800808,Non-investigated-Isolate-Low-Diversity
SRR12761330,Non-investigated-Isolate-Low-Diversity
SRR12761955,Non-investigated-Isolate-Low-Diversity
SRR12761345,Non-investigated-Isolate-Low-Diversity
SRR12761317,Non-investigated-Isolate-Low-Diversity
SRR12761313,Non-investigated-Isolate-Low-Diversity
SRR12762064,Non-investigated-Isolate-Low-Diversity
SRR12801295,Non-investigated-Isolate-Low-Diversity
SRR12761485,Non-investigated-Isolate-Low-Diversity
SRR12801032,Non-investigated-Isolate-Low-Diversity
SRR12801650,Non-investigated-Isolate-Low-Diversity
SRR12801033,Non-investigated-Isolate-Low-Diversity
SRR12801143,Non-investigated-Isolate-Low-Diversity
SRR12800826,Non-investigated-Isolate-Low-Diversity
SRR12800827,Non-investigated-Isolate-Low-Diversity
SRR12801139,Non-investigated-Isolate-Low-Diversity
SRR12801296,Non-investigated-Isolate-Low-Diversity
SRR12761311,Non-investigated-Isolate-Low-Diversity
SRR12800816,Non-investigated-Isolate-Low-Diversity
SRR12800811,Non-investigated-Isolate-Low-Diversity
SRR12801141,Non-investigated-Isolate-Low-Diversity
SRR12761347,Non-investigated-Isolate-Low-Diversity
SRR12800813,Non-investigated-Isolate-Low-Diversity
SRR12801312,Non-investigated-Isolate-Low-Diversity
SRR11300610,Non-investigated-Isolate-Low-Diversity
SRR11300625,Non-investigated-Isolate-Low-Diversity
SRR11300720,Non-investigated-Isolate-Low-Diversity
SRR11300623,Non-investigated-Isolate-Low-Diversity
SRR11300653,Non-investigated-Isolate-Low-Diversity
SRR11300719,Non-investigated-Isolate-Low-Diversity
SRR11300616,Non-investigated-Isolate-Low-Diversity
SRR11300615,Non-investigated-Isolate-Low-Diversity
SRR11300626,Non-investigated-Isolate-Low-Diversity
SRR11300620,Non-investigated-Isolate-Low-Diversity
SRR11300643,Non-investigated-Isolate-Low-Diversity
SRR11300604,Non-investigated-Isolate-Low-Diversity
SRR11300624,Non-investigated-Isolate-Low-Diversity
