"","GenomePortion.diff","GenomePortion.lwr","GenomePortion.upr","GenomePortion.p.adj"
"pan-core|AvgBranLen",0.44,-0.53,1.41,0.36
"pan-core|dia",0.41,-0.73,1.56,0.46
"pan-core|edge",0.44,-0.53,1.41,0.36
"pan-core|height",0.33,-0.77,1.42,0.54
"pan-core|totalClusters",-0.93,-4.22,2.36,0.56
"pan-core|outbreakClusters",-0.47,-0.91,-0.03,0.04
