"","Geography.diff","Geography.lwr","Geography.upr","Geography.p.adj"
"uniform-non-uniform|avgBranLen",0.14,-1.07,1.35,0.82
"uniform-non-uniform|dia",-0.08,-1.51,1.35,0.91
"uniform-non-uniform|edge",0.14,-1.07,1.35,0.81
"uniform-non-uniform|height",-0.09,-1.46,1.28,0.9
"uniform-non-uniform|totalClusters",2.6,-1.51,6.72,0.2
"uniform-non-uniform|outbreakClusters",-0.21,-0.76,0.34,0.44
