"","GenomePortion.diff","GenomePortion.lwr","GenomePortion.upr","GenomePortion.p.adj"
"pan-core|collessPDA",-0.18,-0.75,0.39,0.4
"pan-core|collessYule",-0.66,-2.8,1.47,0.4
"pan-core|gamma",-0.18,-0.37,0.01,0.06
"pan-core|sackinPDA",0.02,-0.46,0.5,0.91
"pan-core|sackinYule",0.07,-1.73,1.88,0.91
"pan-core|totalClusters",-0.5,-1.42,0.42,0.18
"pan-core|outbreakClusters",-0.5,-1.42,0.42,0.18
