"","Host.diff","Host.lwr","Host.upr","Host.p.adj"
"uniform-non-uniform|collessPDA",-0.05,-0.28,0.19,0.69
"uniform-non-uniform|collessYule",-0.08,-0.37,0.22,0.6
"uniform-non-uniform|gamma",-0.81,-1.87,0.26,0.13
"uniform-non-uniform|sackinPDA",-0.03,-0.23,0.16,0.71
"uniform-non-uniform|sackinYule",-0.08,-0.39,0.23,0.6
"uniform-non-uniform|totalClusters",0.15,-0.08,0.37,0.19
"uniform-non-uniform|outbreakClusters",0.05,-0.38,0.49,0.81
