"","Geography.diff","Geography.lwr","Geography.upr","Geography.p.adj"
"uniform-non-uniform|collessPDA",-0.02,-0.26,0.22,0.86
"uniform-non-uniform|collessYule",-0.08,-0.38,0.22,0.59
"uniform-non-uniform|gamma",-0.16,-1.22,0.9,0.76
"uniform-non-uniform|sackinPDA",-0.01,-0.2,0.18,0.9
"uniform-non-uniform|sackinYule",-0.08,-0.39,0.23,0.58
"uniform-non-uniform|totalClusters",-0.1,-0.33,0.12,0.35
"uniform-non-uniform|outbreakClusters",0.2,-0.24,0.63,0.36
