"","GenomePortion.diff","GenomePortion.lwr","GenomePortion.upr","GenomePortion.p.adj"
"pan-core|collessPDA",-0.23,-1.38,0.93,0.57
"pan-core|collessYule",-0.32,-1.8,1.16,0.54
"pan-core|gamma",-0.28,-1.2,0.65,0.41
"pan-core|sackinPDA",-0.16,-1.07,0.75,0.62
"pan-core|sackinYule",-0.25,-1.72,1.22,0.62
"pan-core|totalClusters",0.25,-14.06,14.56,0.96
"pan-core|outbreakClusters",0.75,-2.78,4.28,0.55
