"","GenomePortion.diff","GenomePortion.lwr","GenomePortion.upr","GenomePortion.p.adj"
"pan-core|collessPDA",-0.51,-1.22,0.2,0.11
"pan-core|collessYule",-0.88,-2.17,0.41,0.12
"pan-core|gamma",0.55,-4.36,5.45,0.75
"pan-core|sackinPDA",-0.28,-0.69,0.13,0.12
"pan-core|sackinYule",-0.8,-1.91,0.3,0.1
"pan-core|totalClusters",1.5,-4.66,7.66,0.5
"pan-core|outbreakClusters",1.5,-4.38,7.38,0.48
