"","GenomePortion.diff","GenomePortion.lwr","GenomePortion.upr","GenomePortion.p.adj"
"pan-core|AvgBranLen",-0.01,-0.03,0.02,0.37
"pan-core|dia",-1.72,-7.58,4.14,0.33
"pan-core|edge",-1.6,-7.5,4.31,0.37
"pan-core|height",-1.73,-7.6,4.15,0.33
"pan-core|totalClusters",3,-14.2,20.2,0.53
"pan-core|outbreakClusters",0.33,-3.46,4.12,0.74
