"","Average.branch.length..All.Branches","Diameter","Edge.length.sum..All.edges","Height","Total.number.of.clusters.without.singletons","Number.of.clusters.that.contained.a.confirmed.outbreak.genome"
"Pipeline     ",0.53,0.58,0.53,0.66,0.64,0.62
"GenomePortion",0.97,0.81,0.97,0.42,0.93,0.58
