"","Average.branch.length..All.Branches","Diameter","Edge.length.sum..All.edges","Height","Total.number.of.clusters.without.singletons","Number.of.clusters.that.contained.a.confirmed.outbreak.genome"
"Pipeline     ",0.24,0.16,0.24,0.18,0.5,0.5
"GenomePortion",0.91,0.52,0.91,0.8,0.42,0.42
