"","Average.branch.length..All.Branches","Diameter","Edge.length.sum..All.edges","Height","Total.number.of.clusters.without.singletons","Number.of.clusters.that.contained.a.confirmed.outbreak.genome"
"Pipeline     ",0.78,0.83,0.78,0.83,0.54,0.7
"GenomePortion",0.37,0.33,0.37,0.33,0.53,0.74
